DEPTH,COT_anl,COT,CAL,GR,NPHI,PE,RHOB,DT,RT
5577.8,,0.318,12.07,46.8,36.8,4.27,2.5,66.32,444.54
5580.7,,0.856,9.22,32.11,9.55,4.41,2.4,69.32,67.45
5583.6,,2.168,10.95,55.69,24.64,4.86,2.43,68.87,20.51
5586.5,,0.626,9.56,72.83,38.46,2.88,2.39,64.42,0
5589.4,,0.542,10.35,68.65,15.59,6.59,2.61,81.07,118.56
5592.3,,0.676,12.53,34.66,11.38,3.01,2.55,63.57,285.86
5595.2,,0.091,10.84,20.5,16.37,5.71,2.75,58.96,15.11
5598.1,,0.634,13.58,30.72,-0.78,5.05,2.59,55.45,14
5601.1,,0.028,12.3,26.62,29.36,4.59,2.68,69.16,150.12
5604,,2.159,10.8,58.73,9.97,6.52,2.28,86.18,47
5606.9,,0.38,16.39,58.94,24.58,4.28,2.53,73.11,102.8
5609.8,,0.118,9.48,40.96,11.64,4.17,2.81,73.19,0
5612.7,,0.47,11.32,52.44,10.48,3.41,2.59,86.67,102.42
5615.6,,0.648,11.79,62.15,18.86,5.03,2.73,82.46,8.65
5618.5,,0.518,11.64,44.26,25.18,5.51,2.28,59.79,9.14
5624.3,,0.246,9.26,73.1,19.69,5.62,2.96,81.08,13.87
5627.3,,0.19,11.94,28.12,8.14,4.06,2.81,72.79,40.19
5630.2,,0.428,8.1,50.54,28.59,5.91,2.44,74.06,13.72
5633.1,,0.065,9.18,45.48,5.95,4.53,2.72,56.99,1277.34
5636,,0.016,12.51,67.45,24.12,4.95,2.41,78.99,391.06
5638.9,,0.37,10.02,24.56,18.32,3.78,2.42,83.44,205.83
5641.8,,1.052,11.13,61.64,-0.41,7.96,2.6,73.98,37.33
5644.7,,1.325,11.23,54.28,4.17,5.54,2.64,123.22,44.48
5647.6,,0.675,11.01,21.92,22.54,3.29,2.78,66.37,28.47
5650.5,,0.045,7.18,30.5,24.48,3.05,2.65,76.55,7.1
5653.5,,1.511,8.88,43.87,28.54,7.5,2.56,64.35,35.89
5656.4,,6.547,12.52,39.55,14.19,3.76,2.37,88.7,26.51
5659.3,,0.49,14.73,66.68,4.5,3.93,2.36,56.74,31.54
5665.1,,0.241,9.28,27.9,5.72,4.6,2.33,102.32,115.05
5668,,0.562,8.48,57.9,9.34,4.32,2.54,61.53,0
5670.9,,0.38,11.53,33.4,25.87,4.02,2.33,91.8,21.13
5673.8,,0.095,9.5,105.24,6.92,3.82,2.77,71.11,51.67
5676.7,,0.083,8.06,40.24,16.21,3.86,2.37,58.2,13.61
5679.7,,0.588,11.15,107.67,9.28,3.68,2.43,75.57,30.39
5682.6,,0.156,9.44,60.35,26.62,3.51,2.4,73.69,297.63
5685.5,,0.353,7.6,32.26,3.78,4.1,2.6,59.27,4.47
5688.4,,0.37,15.58,159.99,15.2,3.8,2.64,55.61,36.68
5691.3,,0.297,10.98,26.46,19.25,4.61,2.53,73.76,156.58
5694.2,,2.175,12.16,31.52,23.73,2.54,2.77,70.18,23.17
5697.1,,0.192,9.76,44.76,14.47,5.62,2.46,62.75,494.12
5700,,0.142,12.6,27.35,18.69,3.21,2.51,77.47,15.41
5702.9,,0.392,12.89,77.12,7.5,4.05,2.59,70.8,70.01
5705.8,,0.789,10.05,148.09,-0.78,6.32,2.59,59.72,53.96
5708.8,,0.142,9.74,95.39,19.79,5.32,2.44,58.14,145.78
5711.7,,0.23,11.68,47.34,24.04,5.08,2.38,63.9,23.09
5714.6,,0.119,15.02,24.14,29.12,4.33,2.49,56.45,10.34
5717.5,,0.116,9.93,110.17,7.66,3.26,2.4,77.44,435.7
5723.3,,0.156,11.47,57.2,30.25,3.39,2.58,80.61,41.76
5726.2,,0.372,7.21,68.56,12.73,3.94,2.31,61.56,108.12
5729.1,,0.717,10.53,112.53,4.83,3.77,2.62,50.37,21.71
5732,,0.772,11.72,51.38,27.97,5.39,2.52,48.76,198.26
5735,,3.813,11.97,82.08,9.71,4.63,2.52,66.91,3.63
5737.9,0.25,0.013,11.18,144.67,16.77,5.22,2.53,86.17,65.16
5740.8,0.35,0.271,12.28,83.55,21.28,4.02,2.61,77.73,0.87
5743.7,0.6,0.044,12.3,49.49,8.71,2.27,2.64,91.71,0.73
5746.6,,0.272,10.22,40.07,0.1,3.7,2.65,53.12,126.42
5749.5,1.2,0.68,10.03,69.85,18.49,4.01,2.59,47.86,178.55
5752.4,,0.482,7.15,111.87,12.58,4.56,2.6,84.95,0.12
5755.3,,1.131,11.81,26.67,14.38,3.73,2.66,80.25,55.04
5758.2,,1.849,10.52,119.07,18.06,3.79,2.42,60.78,0
5761.2,,2.381,9.61,67.92,19.03,4.9,2.32,114.21,16.08
5764.1,3,2.006,6.37,35.03,25.32,4.11,2.54,64.19,38.5
5767,,0.099,10.59,90.41,12.73,4.49,2.44,64.78,159.95
5769.9,,0.227,7.88,21.35,16.91,3.66,2.62,61.14,962.11
5772.8,,0.133,8.45,62.85,8.9,2.36,2.47,106.02,11.03
5775.7,0.84,0.534,13.03,45.62,10.69,5.42,2.73,105.19,63.94
5778.6,,0.336,10.76,87.97,2.49,4.28,2.38,70.86,43.54
5781.5,,0.127,7.64,67.18,1.68,4.95,2.32,55.71,134.86
5784.4,,0.272,8.5,47.99,15.29,4.49,2.61,69.62,71.36
5787.4,,0.715,18.07,106.48,12.48,4.55,2.4,81.64,65.22
5790.3,,0.001,13.92,33.44,21.58,4.73,2.41,65.52,13.14
5793.2,,0.745,12.29,92.02,17.98,2.8,2.48,72.83,385.07
5796.1,,1.152,8.85,53.52,5.12,2.56,2.74,63.09,27.51
